tag;zeit;l_temp_200;taupunkt;l_feucht_30;l_feucht_200;b_temp_5;b_temp_20;ns;benetzung;verdunstung
2020-10-29;0;9.4;;100;88;10.9;16.2;0;1;
2020-10-29;1;9.5;;100;90;10.8;16.1;0;1;
2020-10-29;2;9.2;;100;91;10.8;16.1;0;1;
2020-10-29;3;9.3;;100;91;10.8;16;0;1;
2020-10-29;4;9.3;;100;91;10.8;16.1;0;1;
2020-10-29;5;9.4;;100;91;10.8;16;0;1;
2020-10-29;6;9.1;;100;90;10.8;16;0.1;1;
2020-10-29;7;8.3;;100;90;10.7;15.9;0;1;
2020-10-29;8;8.4;;100;89;10.7;15.9;0;1;
2020-10-29;9;9;;100;85;10.6;16;0;1;
2020-10-29;10;8.6;;100;84;10.6;16.1;0;1;
2020-10-29;11;9.2;;100;83;10.6;16;0;1;
2020-10-29;12;9.8;;100;81;10.6;16.1;0;1;
2020-10-29;13;10.4;;100;80;10.6;16.1;0;1;
2020-10-29;14;10.2;;100;81;10.6;16.1;0;1;
2020-10-29;15;10.4;;100;79;10.5;16.1;0;1;
2020-10-29;16;11.4;;100;81;10.6;16.2;0;1;
2020-10-29;17;11.1;;100;83;10.6;16.3;0;1;
2020-10-29;18;9.9;;100;88;10.6;16.3;0;1;
2020-10-29;19;9.3;;100;90;10.6;16.3;0;1;
2020-10-29;20;9.3;;100;91;10.6;16.3;0;1;
2020-10-29;21;9.3;;100;89;10.6;16.3;0;1;
2020-10-29;22;9.1;;100;89;10.6;16.3;0.1;1;
2020-10-29;23;9.1;;100;88;10.6;16.3;0;1;
2020-10-30;0;9.8;;100;90;10.6;16.4;0;1;
2020-10-30;1;9.6;;100;92;10.6;16.3;0;1;
2020-10-30;2;9.4;;100;94;10.6;16.4;0;1;
2020-10-30;3;9.1;;100;95;10.6;16.5;0;1;
2020-10-30;4;9;;100;95;10.6;16.7;0;1;
2020-10-30;5;9.1;;100;96;10.5;16.7;0;1;
2020-10-30;6;9.2;;100;96;10.5;16.7;0;1;
2020-10-30;7;9.6;;100;97;10.5;16.7;0;1;
2020-10-30;8;11.3;;100;97;10.5;16.7;0;1;
2020-10-30;9;11.8;;100;98;10.6;16.8;0;1;
2020-10-30;10;11.9;;100;98;10.6;16.9;0;1;
2020-10-30;11;12;;100;98;10.7;17;0;1;
2020-10-30;12;12.1;;100;98;10.7;17.1;0;1;
2020-10-30;13;12.1;;100;98;10.8;17.2;0;1;
2020-10-30;14;12.3;;100;98;10.9;17.3;0;1;
2020-10-30;15;12.3;;100;98;11;17.4;0;1;
2020-10-30;16;12.1;;100;98;11;17.5;0;1;
2020-10-30;17;12.1;;100;98;11.1;17.6;0;1;
2020-10-30;18;12;;100;97;11.1;17.6;0;1;
2020-10-30;19;12;;100;97;11.2;17.7;0;1;
2020-10-30;20;11.9;;100;97;11.2;17.7;0;1;
2020-10-30;21;12;;100;97;11.3;17.8;0;1;
2020-10-30;22;12;;100;97;11.3;17.8;0;1;
2020-10-30;23;12.1;;100;97;11.4;17.9;0;1;
2020-10-31;0;12.3;;100;97;11.4;17.9;0.1;1;
2020-10-31;1;12.2;;100;98;11.4;18;0;1;
2020-10-31;2;12.1;;100;98;11.4;18;0;1;
2020-10-31;3;12.1;;100;98;11.5;18.1;0;1;
